COMPANY,PNP ID,Approved on Date
INFINEON TECHNOLOGIES AG,IFX,04/19/2000
INFINITE Z,IFZ,01/04/2012
INFORMATIK INFORMATION TECHNOLOGIES,IIT,08/14/2013
INFORMTECH,IFT,11/29/1996
INFOTEK COMMUNICATION INC,ICI,11/29/1996
"INFOTRONIC AMERICA, INC.",ITR,06/21/2001
INFRAMETRICS INC,INF,11/29/1996
INGRAM MACROTRON,VSN,08/10/2000
INGRAM MACROTRON GERMANY,VID,05/24/2000
INHAND ELECTRONICS,IHE,04/20/2010
INITIO CORPORATION,INI,11/29/1996
"INLIFE-HANDNET CO., LTD.",IVR,01/19/2017
INMAX TECHNOLOGY CORPORATION,IMT,02/12/2003
INNES,NES,07/01/2016
INNOLAB PTE LTD,INO,01/20/1999
INNOLUX DISPLAY CORPORATION,INL,12/15/2004
INNOMEDIA INC,INM,11/29/1996
INNOTECH CORPORATION,ILS,10/23/2000
INNOVATE LTD,ATE,11/29/1996
"INNOVENT SYSTEMS, INC.",INN,04/19/2000
INNOWARE INC,WII,01/30/1998
INOVATEC S.P.A.,inu,03/15/2001
INSIDE CONTACTLESS,ICV,11/04/2010
INSIDE OUT NETWORKS,ION,12/28/1998
INSIGNIA SOLUTIONS INC,ISG,11/29/1996
"INSIS CO., LTD.",ISR,02/12/2003
INSTITUT F R ANGEWANDTE FUNKSYSTEMTECHNIK GMBH,IAF,03/20/1999
INTEGRAPH CORPORATION,ING,11/29/1996
INTEGRATED BUSINESS SYSTEMS,IBC,11/29/1996
INTEGRATED CIRCUIT SYSTEMS,ICS,11/29/1996
"INTEGRATED DEVICE TECHNOLOGY, INC.",IDP,01/27/2010
INTEGRATED TECH EXPRESS INC,ITE,11/29/1996
INTEGRATED TECH EXPRESS INC,SRC,11/29/1996
INTEGRATED TECHNOLOGY EXPRESS INC,ITX,06/25/1997
"INTEGRATION ASSOCIATES, INC.",IAI,03/17/2004
INTEL CORP,ICO,08/10/2000
INTELLIGENT INSTRUMENTATION,III,11/29/1996
"INTELLIGENT PLATFORM MANAGEMENT INTERFACE (IPMI) FORUM (INTEL, HP, NEC, DELL)",IPI,05/24/2000
"INTELLIWORXX, INC.",IWX,05/16/1999
INTELLIX CORP.,SVC,01/18/2008
INTER-TEL,ITL,03/21/1997
"INTERACTION SYSTEMS, INC",TCH,03/20/1999
INTERACTIVE COMPUTER PRODUCTS INC,PEN,01/15/1997
INTERCOM INC,ITC,11/29/1996
INTERDIGITAL SISTEMAS DE INFORMACAO,IDS,10/28/1997
INTERFACE CORPORATION,FBI,11/29/1996
INTERFACE SOLUTIONS,ISI,11/29/1996
INTERGATE PTY LTD,IGC,11/29/1996
INTERLACE ENGINEERING CORPORATION,IEC,11/29/1996
INTERLINK ELECTRONICS,IEI,10/16/1998
INTERNATIONAL DATACASTING CORPORATION,IDC,02/25/1997
INTERNATIONAL DISPLAY TECHNOLOGY,IDT,05/16/2002
"INTERNATIONAL INTEGRATED SYSTEMS,INC.(IISI)",ISY,08/10/2000
INTERNATIONAL MICROSYSTEMS INC,IMI,11/29/1996
INTERNATIONAL POWER TECHNOLOGIES,IPT,04/11/1997
INTERNET TECHNOLOGY CORPORATION,ITD,12/05/1997
INTERPHASE CORPORATION,INP,11/29/1996
INTERPHASE CORPORATION,INT,11/29/1996
INTERSIL CORPORATION,LSD,03/14/2012
INTERSOLVE TECHNOLOGIES,IST,03/20/1999
INTERTEX DATA AB,IXD,11/29/1996
INTERVOICE INC,IVI,11/29/1996
INTEVAC PHOTONICS INC.,IVS,02/16/2011
INTRACOM SA,ICM,08/03/1998
INTRADA-SDD LTD,SDD,11/21/2007
INTRESOURCE SYSTEMS PTE LTD,ISP,08/27/1997
"INTUITIVE SURGICAL, INC.",SRG,02/16/2006
INVENTEC CORPORATION,INA,09/13/2013
INVENTEC ELECTRONICS (M) SDN. BHD.,INE,07/21/1998
"INVISO, INC.",INV,10/23/2000
IOMEGA,IOM,11/29/1996
IP POWER TECHNOLOGIES GMBH,IPP,12/06/2010
IP3 TECHNOLOGY LTD.,IPQ,11/11/2013
IPC CORPORATION,IPC,11/29/1996
IPM INDUSTRIA POLITECNICA MERIDIONALE SPA,IPM,09/23/1998
"IPS, INC. (INTELLECTUAL PROPERTY SOLUTIONS, INC.)",IPS,09/05/2001
"IPWIRELESS, INC",IPW,03/15/2001
IRDATA,IRD,04/24/2001
ISIC INNOSCAN INDUSTRIAL COMPUTERS A/S,IIC,07/23/2003
ISOLATION SYSTEMS,ISL,11/29/1996
ISS INC,ISS,11/29/1996
IT-PRO CONSULTING UND SYSTEMHAUS GMBH,ITP,10/23/2000
ITAUSA EXPORT NORTH AMERICA,ITA,11/29/1996
ITHACA PERIPHERALS,IPR,07/01/1997
ITK TELEKOMMUNIKATION AG,ITK,11/29/1996
ITM INC.,ITM,04/24/2001
JACE TECH INC,JCE,11/29/1996
"JAEIK INFORMATION & COMMUNICATION CO., LTD.",JIC,10/23/2000
JAN STRAPKO - FOTO,XFG,05/07/2001
JANICH & KLASS COMPUTERTECHNIK GMBH,JUK,10/08/2002
JANZ AUTOMATIONSSYSTEME AG,JAS,11/03/2009
"JAPAN AVIATION ELECTRONICS INDUSTRY, LIMITED",JAE,03/15/2001
"JAPAN DIGITAL LABORATORY CO.,LTD.",JDL,04/19/2000
JAPAN DISPLAY INC.,JDI,04/18/2013
"JAPAN E.M.SOLUTIONS CO., LTD.",JEM,05/24/2018
JATON CORPORATION,JAT,09/24/1997
"JET POWER TECHNOLOGY CO., LTD.",JET,03/15/2001
"JETWAY INFORMATION CO., LTD",JWY,09/22/2003
"JETWAY SECURITY MICRO,INC",JTY,11/11/2009
"JEWELL INSTRUMENTS, LLC",JWL,06/21/2001
"JIANGSU SHINCO ELECTRONIC GROUP CO., LTD",SHI,08/10/2004
JONES FUTUREX INC,JFX,11/29/1996
JONGSHINE TECH INC,LTI,11/29/1996
JOSEF HEIM KG,HKG,11/29/1996
JPC TECHNOLOGY LIMITED,JPC,10/23/2000
"JS DIGITECH, INC",JSD,10/23/2000
JS MOTORSPORTS,JTS,12/05/1997
JUNNILA,TPJ,03/15/2001
JUPITER SYSTEMS,JUP,09/05/2006
"JUPITER SYSTEMS, INC.",JSI,06/14/2007
JVC,JVC,10/23/2000
JVC KENWOOD CORPORATION,JKC,03/08/2012
JWSPENCER & CO.,JWS,07/16/1999
K-TECH,KTE,03/31/2003
K-ZONE INTERNATIONAL,KZN,06/21/2001
K-ZONE INTERNATIONAL CO. LTD.,KZI,08/10/2000
KANSAI ELECTRIC COMPANY LTD,SGE,12/04/1996
"KAOHSIUNG OPTO ELECTRONICS AMERICAS, INC.",HIQ,03/14/2012
KARN SOLUTIONS LTD.,KSL,05/08/2006
KARNA,KAR,02/21/2000
KATRON TECH INC,KTN,11/29/1996
KAYSER-THREDE GMBH,KTG,11/29/1996
KDDI TECHNOLOGY CORPORATION,KDT,05/22/2012
KDE,KDE,08/14/2001
KDS USA,KDS,11/29/1996
"KEISOKU GIKEN CO.,LTD.",KGL,04/17/2012
KENSINGTON MICROWARE LTD,KML,11/29/1996
KENWOOD CORPORATION,KWD,02/22/2008
KEPS,EPS,11/29/1996
KESA CORPORATION,KES,11/29/1996
KEY TECH INC,KEY,11/29/1996
KEY TRONIC CORPORATION,KTK,11/29/1996
KEYCORP LTD,KCL,05/20/1997
KEYENCE CORPORATION,KYN,03/30/2016
KEYVIEW,KVX,08/13/2012
KIDBOARD INC,KBI,04/24/1997
"KIMIN ELECTRONICS CO., LTD.",KME,02/15/2011
KINETIC SYSTEMS CORPORATION,KSC,11/29/1996
KING PHOENIX COMPANY,KPC,11/29/1996
KING TESTER CORPORATION,KSX,07/16/1998
KINGSTON TECH CORPORATION,KTC,11/29/1996
"KIONIX, INC.",KIO,12/23/2013
KISS TECHNOLOGY A/S,KIS,06/16/2005
"KLIPSCH GROUP, INC",KGI,09/22/2015
"KLOS TECHNOLOGIES, INC.",PVP,08/10/2000
KOBIL SYSTEMS GMBH,KBL,03/15/2001
KOBIL SYSTEMS GMBH,KOB,03/15/2001
KODIAK TECH,KDK,11/29/1996
KOFAX IMAGE PRODUCTS,KFX,11/29/1996
KOLLMORGEN MOTION TECHNOLOGIES GROUP,KOL,11/29/1996
KOLTER ELECTRONIC,KOE,03/15/2001
KOMATSU FOREST,KFE,04/20/2010
KONICA CORPORATION,KNC,08/05/1997
KONICA TECHNICAL INC,KTI,11/29/1996
KONTRON ELECTRONIK,TWE,11/29/1996
KONTRON EMBEDDED MODULES GMBH,KEM,08/29/2007
KONTRON EUROPE GMBH,KEU,02/20/2014
KONTRON GMBH,KOM,09/05/2018
"KOREA DATA SYSTEMS CO., LTD.",KDM,12/18/2003
"KOUZIRO CO.,LTD.",KOU,07/27/2012
"KOWA COMPANY,LTD.",KOW,03/12/2008
KRAMER ELECTRONICS LTD. INTERNATIONAL,KMR,07/10/2013
KRELL INDUSTRIES INC.,KRL,08/03/2004
KROMA TELECOM,KRM,05/05/2010
KROY LLC,KRY,07/16/1998
"KUPA CHINA SHENZHEN MICRO TECHNOLOGY CO., LTD. GOLD INSTITUTE",KSG,04/22/2014
KURTA CORPORATION,KUR,11/29/1996
KVASER AB,KVA,01/24/1997
KYE SYST CORPORATION,KYE,11/29/1996
KYOCERA CORPORATION,KYC,11/29/1996
KYUSHU ELECTRONICS SYSTEMS INC,KEC,01/12/1998
L-3 COMMUNICATIONS,LLL,05/11/2010
LA COMMANDE ELECTRONIQUE,LCE,11/29/1996
LABCAL TECHNOLOGIES,LCT,11/08/1999
LABTEC INC,LTC,12/08/1997
LABWAY CORPORATION,LWC,12/04/1996
LACIE,LAC,12/28/1998
LAGUNA SYSTEMS,LAG,11/29/1996
LAND COMPUTER COMPANY LTD,LND,11/29/1996
LANETCO INTERNATIONAL,LNT,05/02/2003
LANIER WORLDWIDE,LWW,11/29/1996
LARS HAAGH APS,LHA,01/09/1997
LASAT COMM. A/S,LAS,11/29/1996
LASER MASTER,LMT,11/29/1996
LASERDYNE TECHNOLOGIES,LDN,10/16/2013
"LASERGRAPHICS, INC.",LGX,02/21/2000
LATITUDE COMM.,LCM,11/29/1996
LAVA COMPUTER MFG INC,LAV,04/14/1997
LCI,LCC,08/10/2000
LECTRON COMPANY LTD,LEC,03/27/1997
LEDA MEDIA PRODUCTS,LMP,05/11/1998
"LEGERITY, INC",LEG,01/18/2005
LEITCH TECHNOLOGY INTERNATIONAL INC.,LTV,12/09/2003
LENOVO,LNV,07/14/2005
LENOVO BEIJING CO. LTD.,VLM,05/21/2019
LENOVO BEIJING CO. LTD.,LIN,05/22/2012
LENOVO GROUP LIMITED,LEN,06/03/2005
LEUTRON VISION,PRS,11/29/1996
LEXICAL LTD,LEX,11/29/1996
LEXICON,LCN,03/01/2005
LEXMARK INT'L INC,LMI,11/29/1996
LG SEMICOM COMPANY LTD,LGS,11/29/1996
LGIC,MAN,02/21/2000
LIFESIZE COMMUNICATIONS,LSC,02/14/2006
LIGHTHOUSE TECHNOLOGIES LIMITED,LHT,05/04/2010
LIGHTSPACE TECHNOLOGIES,LSP,03/29/2018
LIGHTWARE VISUAL ENGINEERING,LWR,02/04/2009
"LIGHTWARE, INC",LTW,10/16/1998
LIGHTWELL COMPANY LTD,LZX,12/02/1997
LIKOM TECHNOLOGY SDN. BHD.,LKM,04/23/1998
LINEAR SYSTEMS LTD.,LNR,10/11/2007
LINK TECH INC,LNK,11/29/1996
LINKED IP GMBH,LIP,07/19/2010
LISA DRAEXLMAIER GMBH,FGD,02/22/1999
LITE-ON COMMUNICATION INC,LCI,11/29/1996
LITELOGIC OPERATIONS LTD,LOL,12/09/2011
LITHICS SILICON TECHNOLOGY,LIT,03/15/2001
LITRONIC INC,LTN,02/03/1998
LLC SKTB “SKIT”,SKI,10/22/2019
LOCAMATION B.V.,LOC,01/09/2004
LOEWE OPTA GMBH,LOE,05/02/2005
LOGIC LTD,LGC,04/02/1994
LOGICAL SOLUTIONS,LSL,11/29/1996
LOGICODE TECHNOLOGY INC,LOG,11/29/1996
LOGIDATATECH ELECTRONIC GMBH,LDT,03/15/2001
LOGITECH INC,LGI,11/29/1996
LOGOS DESIGN A/S,SGO,04/24/2001
LONG ENGINEERING DESIGN INC,LED,11/29/1996
LONGSHINE ELECTRONICS COMPANY,LCS,11/29/1996
LOUGHBOROUGH SOUND IMAGES,LSI,11/29/1996
LSI JAPAN COMPANY LTD,LSJ,11/29/1996
LSI SYSTEMS INC,LSY,11/29/1996
LTS SCALE LLC,LTS,11/15/2007
LUBOSOFT,LBO,04/24/2001
LUCENT TECHNOLOGIES,LUC,04/19/2000
LUCENT TECHNOLOGIES,LMG,01/13/1997
LUCIDITY TECHNOLOGY COMPANY LTD,LTK,05/18/1998
"LUMAGEN, INC.",LUM,08/12/2004
LUNG HWA ELECTRONICS COMPANY LTD,LHE,06/12/1998
LUXEON,LXN,03/15/2001
LUXXELL RESEARCH INC,LUX,06/09/1997
LVI LOW VISION INTERNATIONAL AB,LVI,01/21/2011
LXCO TECHNOLOGIES AG,LXC,01/11/2012
M-G TECHNOLOGY LTD,MGL,10/29/1997
M-LABS LIMITED,OHW,11/27/2013
M-PACT INC,MPC,11/29/1996
M-SYSTEMS FLASH DISK PIONEERS,MSF,12/17/1997
MAC SYSTEM COMPANY LTD,MAC,09/26/1997
"MAC-EIGHT CO., LTD.",MEJ,01/19/2011
MACRAIGOR SYSTEMS INC,OCD,03/23/1998
MACROCAD DEVELOPMENT INC.,VHI,04/19/2000
MACRONIX INC,MXI,11/29/1996
MADGE NETWORKS,MDG,11/29/1996
MAESTRO PTY LTD,MAE,12/04/1996
MAG INNOVISION,MAG,11/29/1996
MAGIC LEAP,MLP,11/14/2014
MAGNI SYSTEMS INC,MCP,11/29/1996
MAGTEK INC.,EKA,02/14/2006
MAGUS DATA TECH,MDT,11/29/1996
MAINPINE LIMITED,MPN,06/30/2007
MAINPINE LIMITED,MUK,09/13/1999
"MANY CNC SYSTEM CO., LTD.",PAK,03/12/2004
MAPLE RESEARCH INST. COMPANY LTD,MPL,11/29/1996
"MARANTZ JAPAN, INC.",MJI,10/23/2000
MARCONI INSTRUMENTS LTD,MIL,11/29/1996
MARCONI SIMULATION & TY-COCH WAY TRAINING,MRC,11/29/1996
MARINA COMMUNICAITONS,MCR,11/29/1996
MARK LEVINSON,MLN,02/28/2005
MARK OF THE UNICORN INC,MTU,03/21/1997
MARS-TECH CORPORATION,MTC,11/29/1996
"MARSEILLE, INC.",MNI,02/27/2013
MARSHALL ELECTRONICS,MBM,03/13/2006
MARUKO & COMPANY LTD,MRK,11/29/1996
MASPRO DENKOH CORP.,MSR,10/25/2012
MASS INC.,MAS,02/25/2002
MAT'S COMPUTERS,MCQ,07/22/2004
MATELECT LTD.,MEQ,05/30/2002
MATRIX ORBITAL CORPORATION,MOC,11/13/2017
MATROX,MTX,11/29/1996
"MATSUSHITA COMMUNICATION INDUSTRIAL CO., LTD.",WPA,03/15/2001
MATSUSHITA ELECTRIC IND. COMPANY LTD,MAT,11/29/1996
MAXCOM TECHNICAL INC,MTI,11/29/1996
MAXDATA COMPUTER AG,VOB,02/21/2000
MAXDATA COMPUTER GMBH & CO.KG,MXD,04/19/2000
MAXPEED CORPORATION,MXP,02/19/1997
MAXTECH CORPORATION,MXT,11/29/1996
MAXVISION CORPORATION,MXV,07/16/1999
"MAYGAY MACHINES, LTD",DJP,08/10/2000
MAYNARD ELECTRONICS,MAY,11/29/1996
MAZET GMBH,MAZ,08/11/1998
MBC,MBC,11/29/1996
MCDATA CORPORATION,MCD,11/29/1996
MCINTOSH LABORATORY INC.,MLI,01/18/2008
MCM INDUSTRIAL TECHNOLOGY GMBH,MIT,10/29/2004
MEC ELECTRONICS GMBH,CEM,04/19/2000
MEDAR INC,MDR,12/11/1996
MEDIA TECHNOLOGIES LTD.,MTB,01/05/2009
MEDIA TEK INC.,MKC,06/14/2007
MEDIA VISION INC,MVI,11/29/1996
MEDIA4 INC,MDA,03/20/1997
MEDIACOM TECHNOLOGIES PTE LTD,OWL,11/29/1996
MEDIAEDGE CORPORATION,MEK,11/19/2013
MEDIAFIRE CORP.,MFR,12/28/1998
MEDIASONIC,FTR,11/29/1996
MEDIATEC GMBH,MTE,12/13/1996
MEDIATEK CORPORATION,MDK,03/13/1997
MEDIATRIX PERIPHERALS INC,MPI,04/24/1997
"MEDICAPTURE, INC.",MVR,05/25/2017
MEDICAROID CORPORATION,MCJ,08/20/2018
MEDIKRO OY,MRO,09/19/1997
MEGA SYSTEM TECHNOLOGIES INC,MEC,12/29/1997
"MEGA SYSTEM TECHNOLOGIES, INC.",MGA,12/28/1998
MEGAPIXEL VISUAL REALTY,MPV,07/15/2020
MEGASOFT INC,MSK,11/29/1996
MEGATECH R & D COMPANY,MGT,11/29/1996
MELD TECHNOLOGY,MEP,08/16/2012
MEN MIKROELECTRONIK NUERUBERG GMBH,MEN,05/23/1997
MENTOR GRAPHICS CORPORATION,MGC,07/30/2009
MEPCO,RLD,03/15/2001
MEPHI,PPD,11/27/1998
MERGING TECHNOLOGIES,MRT,11/29/1996
MERIDIAN AUDIO LTD,MAL,02/04/2009
MESSELTRONIK DRESDEN GMBH,MED,11/29/1996
MET DEVELOPMENT INC,MDV,11/29/1996
META COMPANY,MVN,05/25/2016
"META VIEW, INC.",CFR,07/15/2020
META WATCH LTD,MTA,08/29/2013
METHEUS CORPORATION,MET,11/29/1996
METRICOM INC,MCM,11/29/1996
METRONICS INC,QCH,11/29/1996
METTLER TOLEDO,NET,11/29/1996
METZ-WERKE GMBH & CO KG,MCE,06/30/2005
MICOM COMMUNICATIONS INC,MIC,05/05/1997
"MICOMSOFT CO., LTD.",MSX,04/10/2008
MICRO COMPUTER SYSTEMS,MCS,11/29/1996
MICRO DESIGN INC,MDI,01/20/1998
MICRO DISPLAY SYSTEMS INC,MDS,11/29/1996
MICRO FIRMWARE,MFI,12/30/1997
MICRO INDUSTRIES,MCC,04/21/2003
"MICRO SOLUTIONS, INC.",BPD,04/19/2000
MICRO SYSTEMATION AB,MSA,11/08/1999
MICRO TECHNICAL COMPANY LTD,JMT,11/29/1996
MICRO-TECH HEARING INSTRUMENTS,MTH,12/15/1997
MICROBUS PLC,MBD,08/13/2002
MICROCOM,MNP,11/29/1996
MICRODATEC GMBH,MDX,09/13/1999
MICRODISPLAY CORPORATION,MRD,06/14/2007
MICRODYNE INC,MDY,12/18/1996
MICROFIELD GRAPHICS INC,MFG,11/29/1996
MICROIMAGE VIDEO SYSTEMS,MIV,12/08/2015
MICROLAB,MPJ,05/23/1997
MICROLINE,LAF,09/13/1999
MICROLOGICA AG,MLG,10/06/1998
MICROMED BIOTECNOLOGIA LTD,MMD,12/11/1996
MICROMEDIA AG,MMA,04/24/1997
MICRON ELECTRONICS INC,MCN,02/20/1997
MICRONICS COMPUTERS,MCI,11/29/1996
MICRONPC.COM,MIP,08/10/2000
MICRONYX INC,MYX,11/29/1996
"MICROPIX TECHNOLOGIES, LTD.",MPX,10/08/2001
MICROSLATE INC.,MSL,05/16/1999
MICROSOFT,PNP,03/05/2004
MICROSOFT,MSH,11/29/1996
MICROSOFT,PNG,11/29/1996
MICROSOFTWARE,WBN,01/14/1998
MICROSTEP,MSI,11/29/1996
MICROTEC,MCT,11/29/1996
"MICROTECHNICA CO.,LTD.",MTJ,01/04/2016
MICROTEK INC.,MKT,07/14/2005
MICROTEK INTERNATIONAL INC.,MTK,02/25/2002
MICROTOUCH SYSTEMS INC,MSY,08/10/2000
MICROVISION,MVS,02/13/2009
MICROVITEC PLC,MVD,11/29/1996
MICROWAY INC,MWY,11/29/1996
MIDORI ELECTRONICS,MDC,11/29/1996
MIKROFORUM RING 3,SFT,11/02/2004
MILCOTS,MLC,07/15/2020
MILDEF AB,MDF,06/23/2016
MILESTONE EPE,MLS,08/11/1998
MILLENNIUM ENGINEERING INC,MLM,11/29/1996
MILLOGIC LTD.,MLL,01/09/2014
MILLSON CUSTOM SOLUTIONS INC.,MCX,10/17/2013
MILTOPE CORPORATION,VTM,09/23/2009
MIMIO – A NEWELL RUBBERMAID COMPANY,MIM,07/31/2012
MIMO MONITORS,MMT,10/22/2019
MINDTECH DISPLAY CO. LTD,MTD,06/14/2007
"MINDTRIBE PRODUCT ENGINEERING, INC.",FTW,02/14/2011
MINI MICRO METHODS LTD,MNC,11/29/1996
MINICOM DIGITAL SIGNAGE,MIN,08/13/2010
MINIMAN INC,MMN,11/29/1996
MINNESOTA MINING AND MANUFACTURING,MMF,03/15/2001
MIRANDA TECHNOLOGIES INC,MRA,11/29/1996
MIRATEL,MRL,10/16/1998
MIRO COMPUTER PROD.,MIR,11/29/1996
MIRO DISPLAYS,MID,03/20/1999
MISTRAL SOLUTIONS [P] LTD.,MSP,09/23/1998
MITEC INC,MII,11/29/1996
MITEL CORPORATION,MTL,08/01/1997
MITRON COMPUTER INC,MTR,11/29/1996
MITSUBISHI ELECTRIC CORPORATION,MEL,11/29/1996
"MITSUBISHI ELECTRIC ENGINEERING CO., LTD.",MEE,10/03/2005
MITSUMI COMPANY LTD,KMC,11/29/1996
MJS DESIGNS,MJS,11/29/1996
"MK SEIKO CO., LTD.",MKS,06/18/2013
MMS ELECTRONICS,MMS,02/24/1998
MODESTO PC INC,FST,02/27/1997
MODIS,MDD,11/08/1999
MODULAR INDUSTRIAL SOLUTIONS INC,MIS,11/29/1996
MODULAR TECHNOLOGY,MOD,06/09/1997
MOMENTUM DATA SYSTEMS,MOM,01/18/2008
MONORAIL INC,MNL,02/18/1997
MONYDATA,MYA,11/29/1996
MORETON BAY,MBV,01/13/2000
MOSES CORPORATION,MOS,11/29/1996
MOSGI CORPORATION,MSV,11/29/1996
MOTION COMPUTING INC.,MCO,05/30/2002
MOTIUM,MTM,06/19/2012
MOTOROLA,MSU,03/15/2001
MOTOROLA COMMUNICATIONS ISRAEL,MCL,07/02/2002
MOTOROLA COMPUTER GROUP,MCG,08/14/1997
MOTOROLA UDS,MOT,11/29/1996
MOUSE SYSTEMS CORPORATION,MSC,11/29/1996
MOXA INC.,MHQ,10/22/2019
"MPL AG, ELEKTRONIK-UNTERNEHMEN",MEU,01/15/2016
MPS SOFTWARE GMBH,MPS,11/29/1996
MS TELEMATICA,MST,04/28/1997
MSC VERTRIEBS GMBH,MEX,06/04/2012
MSI GMBH,MSG,09/13/1999
"MTRON STORAGE TECHNOLOGY CO., LTD.",MTN,06/17/2008
MULTI-DIMENSION INSTITUTE,MUD,10/23/2000
MULTI-TECH SYSTEMS,MTS,11/29/1996
MULTIMAX,MMI,11/29/1996
MULTIQ PRODUCTS AB,MQP,03/20/1999
MULTIWAVE INNOVATION PTE LTD,MWI,11/29/1996
MUTOH AMERICA INC,MAI,09/13/1999
MWARE,MWR,04/24/2001
MYLEX CORPORATION,MLX,11/29/1996
MYRIAD SOLUTIONS LTD,MYR,11/29/1996
MYSE TECHNOLOGY,WYS,11/29/1996
N*ABLE TECHNOLOGIES INC,NBL,04/28/1998
"N-TRIG INNOVATIVE TECHNOLOGIES, INC.",NTR,10/03/2005
N-VISION,JEN,10/23/2000
NAD ELECTRONICS,NAD,06/14/2007
"NAITOH DENSEI CO., LTD.",NDK,04/12/2006
NAJING CEC PANDA FPD TECHNOLOGY CO. LTD,NCP,02/24/2015
"NAKANO ENGINEERING CO.,LTD.",NAK,07/22/2009
"NAKAYO RELECOMMUNICATIONS, INC.",NYC,08/10/2000
NANOMACH ANSTALT,SCS,11/29/1996
NASA AMES RESEARCH CENTER,ADR,11/29/1996
NATIONAL DATACOMM CORPORAITON,NDC,11/29/1996
NATIONAL DISPLAY SYSTEMS,NDI,08/08/2003
NATIONAL INSTRUMENTS CORPORATION,NIC,11/29/1996
NATIONAL KEY LAB. ON ISN,NBS,07/16/1998
NATIONAL SEMICONDUCTOR CORPORATION,NSC,11/29/1996
NATIONAL SEMICONDUCTOR JAPAN LTD,TTB,04/14/1997
NATIONAL TRANSCOMM. LTD,NTL,11/29/1996
NATIONZ TECHNOLOGIES INC.,ZIC,03/12/2009
NATURAL MICRO SYSTEM,NMS,11/29/1996
NATURALPOINT INC.,NAT,09/03/2010
NAVATEK ENGINEERING CORPORATION,NVT,03/02/1998
"NAVICO, INC.",NME,11/28/2012
NAVIGATION CORPORATION,NAV,02/22/1999
NAXOS TECNOLOGIA,NAX,12/12/1997
NCAST CORPORATION,NAC,02/14/2006
NCR CORPORATION,DUN,04/25/2002
NCR CORPORATION,NCC,11/29/1996
NCR ELECTRONICS,NCR,11/29/1996
NDF SPECIAL LIGHT PRODUCTS B.V.,NDF,09/18/2014
NDS LTD,DMV,06/25/1997
NEC CORPORATION,NEC,05/24/2000
"NEC CUSTOMTECHNICA, LTD.",NCT,10/23/2002
NEC-MITSUBISHI ELECTRIC VISUAL SYSTEMS CORPORATION,NMV,02/25/2002
"NEO TELECOM CO.,LTD.",NEO,11/08/1999
NEOMAGIC,NMX,11/29/1996
NEOTECH S.R.L,NTC,11/11/1997
NETACCESS INC,NTX,02/07/1997
NETCOMM LTD,NCL,11/29/1996
NETVISION CORPORATION,NVC,11/29/1996
NETWORK ALCHEMY,NAL,09/30/1997
NETWORK DESIGNERS,NDL,11/29/1996
NETWORK GENERAL,NGC,08/26/1997
NETWORK INFO TECHNOLOGY,NIT,11/29/1996
NETWORK PERIPHERALS INC,NPI,11/29/1996
NETWORK SECURITY TECHNOLOGY CO,NST,02/22/1999
NETWORTH INC,NTW,11/29/1996
"NEUROSKY, INC.",NSA,08/28/2013
NEUROTEC - EMPRESA DE PESQUISA E DESENVOLVIMENTO EM BIOMEDICINA,NEU,03/15/2001
NEW TECH INT'L COMPANY,NTI,11/29/1996
NEWCOM INC,NCI,01/09/1997
"NEWISYS, INC.",NWS,10/08/2002
NEWPORT SYSTEMS SOLUTIONS,NSS,11/29/1996
NEWTEK,NTK,06/22/2017
NEXGEN,NXG,11/29/1996
"NEXGEN MEDIATECH INC.,",NEX,11/11/2003
"NEXIQ TECHNOLOGIES, INC.",NXQ,10/08/2001
NEXT LEVEL COMMUNICATIONS,NLC,11/29/1996
NEXTCOM K.K.,NXC,11/29/1996
"NINGBO BESTWINNING TECHNOLOGY CO., LTD",NBT,09/05/2006
"NINGBO BOIGLE DIGITAL TECHNOLOGY CO.,LTD",BOI,11/25/2009
"NIPPON AVIONICS CO.,LTD",AVI,10/23/2000
"NIPPONDENCHI CO,.LTD",GSB,05/24/2000
"NISSEI ELECTRIC CO.,LTD",NSI,01/13/2000
NISSEI ELECTRIC COMPANY,NIS,11/29/1996
NITS TECHNOLOGY INC.,NTS,12/19/2006
NIXDORF COMPANY,NCA,11/29/1996
NNC,NNC,11/29/1996
NOKIA DATA,NDS,11/29/1996
NOKIA DISPLAY PRODUCTS,NOK,11/29/1996
NOKIA MOBILE PHONES,NMP,11/29/1996
NORAND CORPORATION,NOR,03/19/1997
"NORCENT TECHNOLOGY, INC.",NCE,06/20/2007
NORDICEYE AB,NOE,09/23/2009
NORITAKE ITRON CORPORATION,NRI,11/13/2017
NORTH INVENT A/S,NOI,05/04/2010
NORTHGATE COMPUTER SYSTEMS,NCS,11/29/1996
NOT LIMITED INC,NOT,01/30/1998
NOVAWEB TECHNOLOGIES INC,NWP,06/12/1998
NOVELL INC,NVL,11/29/1996
NSPIRE SYSTEM INC.,NSP,02/13/2007
NTT ADVANCED TECHNOLOGY CORPORATION,NTT,08/19/2004
NU INC.,NUI,08/29/2007
"NU TECHNOLOGY, INC.",NUG,04/16/2004
NUMBER FIVE SOFTWARE,NFS,02/22/1999
NUTECH MARKETING PTL,KNX,11/29/1996
"NUVISION US, INC.",NVI,09/05/2006
NUVOTON TECHNOLOGY CORPORATION,NTN,10/09/2008
NVIDIA,NVD,11/29/1996
